"","PrimaryKey","horizontal_flux_total_LPI","horizontal_flux_total_UPI","horizontal_flux_total_MD","horizontal_flux_total_MN","horizontal_flux_total_STD","vertical_flux_LPI","vertical_flux_UPI","vertical_flux_MD","vertical_flux_MN","vertical_flux_STD","PM1_LPI","PM1_UPI","PM1_MD","PM1_MN","PM1_STD","PM2_5_LPI","PM2_5_UPI","PM2_5_MD","PM2_5_MN","PM2_5_STD","PM10_LPI","PM10_UPI","PM10_MD","PM10_MN","PM10_STD"
"9224","20163527200812B3",0.026925678,1.544347525,0.258407114,0.446564929,0.487079222,3.68e-09,5.73e-05,5.9e-07,9.84e-06,2.58e-05,6.55e-10,1.02e-05,1.05e-07,1.75e-06,4.58e-06,1.14e-09,1.78e-05,1.83e-07,3.05e-06,7.99e-06,2.59e-09,4.03e-05,4.15e-07,6.92e-06,1.81e-05
"9225","20163527200815B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9230","20163529201413B1",3.783816155,24.71972888,9.958755549,11.36566721,6.37881349,5.57e-06,0.001800495,7.85e-05,0.000304582,0.00057026,8.59e-07,0.000277581,1.21e-05,4.7e-05,8.79e-05,1.67e-06,0.000538365,2.35e-05,9.11e-05,0.000170513,3.91e-06,0.001261439,5.5e-05,0.00021339,0.000399527
"9231","20163529201413B2",25.65431369,92.76752747,49.30069754,52.64589802,20.7867706,9.3e-05,0.006624087,0.000807564,0.001744207,0.002678998,5.31e-08,3.95e-06,4.67e-07,1.04e-06,1.69e-06,1.2e-06,8.56e-05,1.04e-05,2.26e-05,3.49e-05,3.14e-05,0.002240156,0.000273081,0.000589887,0.000906226
"9234","20163535201006B1",2.240999174,14.26229104,5.572974212,6.332680643,3.437412154,6.19e-06,0.001635956,8.26e-05,0.000330007,0.000610768,1.1e-06,0.000290796,1.47e-05,5.87e-05,0.000108558,1.92e-06,0.000507207,2.56e-05,0.000102286,0.000189314,4.35e-06,0.001150695,5.81e-05,0.000232093,0.000429556
"9235","20163535201006B2",7.942915871,30.78048419,15.94988079,17.00001601,6.846481518,6.02e-05,0.005532185,0.000573895,0.001349274,0.002082789,1.07e-05,0.000983298,0.000102001,0.000239824,0.000370217,1.87e-05,0.001714786,0.000177863,0.000418244,0.000645707,4.24e-05,0.003890839,0.000403602,0.000948973,0.001464954
"9236","20163535201019B1",5.496451154,22.74637328,12.44606939,12.7070776,5.153759927,1.66e-05,0.00124344,0.000161727,0.000332421,0.000464572,3.87e-08,3.11e-06,3.82e-07,8.07e-07,1.17e-06,5.71e-07,4.32e-05,5.57e-06,1.15e-05,1.62e-05,7.23e-06,0.00054249,7.05e-05,0.000144973,0.000202698
"9237","20163535201019B2",8.488229291,28.33875375,15.68237802,16.69305831,6.133765879,3.2e-05,0.001823191,0.000240018,0.000488205,0.000691736,1.84e-08,1.26e-06,1.39e-07,2.93e-07,4.37e-07,4.11e-07,2.4e-05,3.1e-06,6.32e-06,9.01e-06,1.08e-05,0.000616986,8.12e-05,0.000165114,0.000233997
"9238","20163535201108B1",3.70497826,15.5301492,7.750975895,8.176293945,3.477726094,9.04e-06,0.001447607,8.88e-05,0.00027281,0.000488822,1.61e-06,0.000257322,1.58e-05,4.85e-05,8.69e-05,2.8e-06,0.000448845,2.75e-05,8.46e-05,0.000151519,6.36e-06,0.001018246,6.25e-05,0.000191868,0.000343794
"9239","20163535201108B2",18.20429923,63.93691255,34.79510364,36.6704353,13.96305969,0.000242043,0.013120195,0.001820407,0.003659211,0.005165429,4.3e-05,0.002332106,0.000323548,0.000650409,0.000918199,7.5e-05,0.004067446,0.000564183,0.001134325,0.001601643,0.00017022,0.009228168,0.001280234,0.00257365,0.003633409
"9240","20163535201113B2",88.10303648,249.5657032,148.7541706,157.0414984,51.85285338,0.004935676,0.092417638,0.022333478,0.033271439,0.032215278,0.000877246,0.016427495,0.003969553,0.005914164,0.005727594,0.001529723,0.028652677,0.006922421,0.010315954,0.009995446,0.00347115,0.065004309,0.015707176,0.023403205,0.022666791
"9255","20163551200518B1",0.016108346,0.788950467,0.149405626,0.244429784,0.253592687,1.73e-09,1.79e-05,2.44e-07,3.28e-06,7.96e-06,9.65e-13,1.03e-08,1.37e-10,1.87e-09,4.56e-09,2.22e-11,2.3e-07,3.13e-09,4.22e-08,1.03e-07,5.85e-10,6.04e-06,8.23e-08,1.11e-06,2.69e-06
"9256","20163551200518B2",1.617262269,6.00241263,3.129083622,3.361375769,1.334006181,1.37e-05,0.000668639,0.000110863,0.000211181,0.000294783,7.83e-09,3.96e-07,6.46e-08,1.28e-07,1.94e-07,1.77e-07,8.64e-06,1.43e-06,2.74e-06,3.86e-06,4.65e-06,0.000226123,3.75e-05,7.14e-05,9.97e-05
"9257","20163551201503B1",0.018250913,0.162132197,0.044458677,0.059053155,0.044897353,3.73e-09,4.06e-06,6.54e-08,6.81e-07,1.74e-06,5.75e-10,6.26e-07,1.01e-08,1.05e-07,2.69e-07,1.12e-09,1.21e-06,1.96e-08,2.04e-07,5.21e-07,2.61e-09,2.84e-06,4.58e-08,4.77e-07,1.22e-06
"9258","20163551201503B2",0.734031435,4.645764478,1.979181594,2.237781869,1.235407245,6.86e-07,0.000179851,9.91e-06,3.24e-05,5.85e-05,3.84e-10,1.04e-07,5.69e-09,1.9e-08,3.5e-08,8.81e-09,2.32e-06,1.27e-07,4.19e-07,7.57e-07,2.32e-07,6.08e-05,3.35e-06,1.1e-05,1.98e-05
"9259","20163551201601B1",8.886346667,37.29205065,18.67355779,19.98603346,8.787068854,5.52e-05,0.003462395,0.000457451,0.000982455,0.001502691,3.12e-08,2.03e-06,2.63e-07,5.9e-07,9.7e-07,7.1e-07,4.47e-05,5.89e-06,1.27e-05,1.96e-05,1.87e-05,0.001170894,0.000154681,0.000332268,0.000508359
"9260","20163551201601B2",0.765467683,6.99455471,2.41805969,2.8958575,1.887032873,1.95e-07,0.000107449,3.78e-06,1.83e-05,3.81e-05,1.09e-10,6.39e-08,2.15e-09,1.06e-08,2.22e-08,2.51e-09,1.39e-06,4.86e-08,2.36e-07,4.91e-07,6.6e-08,3.63e-05,1.28e-06,6.2e-06,1.29e-05
"9261","20163551201612B1",0.002177948,0.437348482,0.050048846,0.115053411,0.165102284,2.38e-11,4.75e-06,2.25e-08,9.09e-07,3.22e-06,1.32e-14,2.74e-09,1.25e-11,5.12e-10,1.82e-09,3.05e-13,6.11e-08,2.89e-10,1.17e-08,4.14e-08,8.03e-12,1.6e-06,7.6e-09,3.07e-07,1.09e-06
"9262","20163551201612B2",1.190886496,10.50286409,3.541233382,4.282054449,2.74722828,1.17e-06,0.00060195,2.17e-05,0.000103672,0.000203653,1.81e-07,9.28e-05,3.34e-06,1.6e-05,3.14e-05,3.51e-07,0.00017999,6.48e-06,3.1e-05,6.09e-05,8.22e-07,0.000421736,1.52e-05,7.26e-05,0.00014268
"9263","20163553200517B1",32.92632919,127.9152642,65.75499883,72.05134521,30.15995098,0.00059624,0.015257901,0.003121721,0.005307635,0.006519869,3.42e-07,9.71e-06,1.87e-06,3.28e-06,4.64e-06,7.69e-06,0.000197981,4.04e-05,6.89e-05,8.61e-05,0.000201612,0.005160378,0.00105577,0.001795415,0.002207116
"9264","20163553200517B2",15.74154015,61.8380758,31.90836433,34.88366395,14.64521286,0.000284054,0.007736954,0.001598888,0.002676617,0.003289598,1.62e-07,4.86e-06,9.25e-07,1.65e-06,2.34e-06,3.65e-06,0.000100223,2.07e-05,3.48e-05,4.34e-05,9.6e-05,0.002616736,0.000540722,0.000905348,0.001113334
"9265","20163553201907B1",0.003248907,0.491991801,0.062412205,0.134304568,0.1909579,3.32e-11,3.5e-06,2.09e-08,7.96e-07,3.05e-06,1.84e-14,1.97e-09,1.17e-11,4.48e-10,1.72e-09,4.26e-13,4.49e-08,2.68e-10,1.02e-08,3.92e-08,1.12e-11,1.18e-06,7.06e-09,2.69e-07,1.03e-06
"9266","20163553201907B2",0.046012622,3.277782199,0.497940256,0.955668115,1.203841575,1.25e-09,3.51e-05,2.54e-07,7.34e-06,2.53e-05,6.93e-13,2.02e-08,1.42e-10,4.14e-09,1.43e-08,1.6e-11,4.52e-07,3.27e-09,9.43e-08,3.25e-07,4.21e-10,1.19e-05,8.6e-08,2.48e-06,8.55e-06
"9267","20163553201914B1",23.45975475,94.80815869,48.22022775,51.7893596,21.50005057,0.000106787,0.008771326,0.000975044,0.002236914,0.003422889,6.04e-08,5.44e-06,5.57e-07,1.33e-06,2.12e-06,1.37e-06,0.000113436,1.25e-05,2.89e-05,4.45e-05,3.61e-05,0.002966398,0.000329695,0.00075651,0.001157768
"9268","20163553201914B2",12.40746287,71.46340187,29.99459409,34.28950368,18.34187686,3.53e-05,0.008252907,0.00050603,0.001674579,0.002889938,2e-08,4.89e-06,2.93e-07,9.85e-07,1.74e-06,4.54e-07,0.000106669,6.52e-06,2.16e-05,3.74e-05,1.19e-05,0.002791016,0.000171114,0.000566301,0.000977397
"9269","20163553202009B1",16.55459405,63.03815827,32.43312251,34.87257624,14.25483535,6.57e-05,0.005073233,0.000585711,0.001307921,0.001987922,3.73e-08,3.15e-06,3.36e-07,7.81e-07,1.24e-06,8.46e-07,6.59e-05,7.54e-06,1.69e-05,2.58e-05,2.22e-05,0.001716018,0.000198048,0.000442332,0.000672424
"9270","20163553202009B2",14.91582297,58.77987105,30.45380152,32.50251716,13.40883619,4.72e-05,0.003544302,0.000417795,0.000897689,0.001327669,2.67e-08,2.32e-06,2.44e-07,5.37e-07,8.33e-07,6.07e-07,4.65e-05,5.38e-06,1.16e-05,1.73e-05,1.59e-05,0.001199288,0.000141266,0.000303596,0.000449096
"9271","20163553202015B1",2.632868809,18.21362848,6.612257663,7.827617846,4.573616073,2.06e-06,0.000708746,2.9e-05,0.000131854,0.00025571,1.16e-09,4.34e-07,1.65e-08,7.66e-08,1.5e-07,2.65e-08,9.2e-06,3.73e-07,1.7e-06,3.3e-06,6.96e-07,0.000239726,9.81e-06,4.46e-05,8.65e-05
"9272","20163553202015B2",16.00616861,54.95436416,29.94184206,32.24704634,12.10489293,4.68e-05,0.001279502,0.000232241,0.000389691,0.000476355,2.67e-08,7.8e-07,1.36e-07,2.4e-07,3.24e-07,6.02e-07,1.65e-05,3.01e-06,5.06e-06,6.25e-06,1.58e-05,0.000432701,7.85e-05,0.000131801,0.000161178
"10535","20173513201314B1",46.61552601,150.6355526,84.26995133,90.22511793,32.02915658,0.000234922,0.008032342,0.001471401,0.002656358,0.003458696,3.52e-05,0.001203056,0.00022038,0.000397868,0.000518056,6.81e-05,0.002327284,0.000426317,0.000769681,0.001002244,0.000164625,0.005628892,0.001031118,0.001861563,0.002423946
"10536","20173513201314B2",66.55419925,217.40235,122.4886093,130.5257937,48.47867442,0.000469285,0.012220355,0.002207976,0.00375688,0.004385156,7.03e-05,0.00183033,0.0003307,0.000562703,0.000656838,0.000135967,0.003540751,0.000639722,0.001088567,0.001270774,0.00032886,0.008563807,0.001547282,0.00263281,0.003073323
"10537","20173513201319B1",3.155293251,18.55945778,8.26036922,9.015977216,4.629385753,3.27e-06,0.000821148,4.5e-05,0.000144506,0.00025656,4.9e-07,0.000122988,6.74e-06,2.16e-05,3.84e-05,9.48e-07,0.000237914,1.3e-05,4.19e-05,7.43e-05,2.29e-06,0.000575437,3.15e-05,0.000101267,0.000179793
"10538","20173513201319B2",8.113869773,32.29630582,16.83751472,17.78769,7.524537356,1.81e-05,0.001436596,0.0001491,0.000348494,0.000548096,2.8e-06,0.000221484,2.3e-05,5.37e-05,8.45e-05,5.42e-06,0.000429554,4.46e-05,0.000104203,0.000163887,1.27e-05,0.001006477,0.000104457,0.000244158,0.00038401
"10539","20173513201502B1",45.08925651,185.8302481,94.01185989,102.4038279,44.30364279,0.000521446,0.015336111,0.00298914,0.005081684,0.006251868,2.97e-07,9.25e-06,1.74e-06,3.14e-06,4.45e-06,6.71e-06,0.000198355,3.85e-05,6.6e-05,8.24e-05,0.000176317,0.005186579,0.001010786,0.001718839,0.002115854
"10540","20173513201502B2",0.794116461,2.927638643,1.48068706,1.624191471,0.671231206,4e-06,0.000218068,2.98e-05,6.61e-05,0.000106816,6.17e-07,3.36e-05,4.59e-06,1.02e-05,1.65e-05,1.2e-06,6.52e-05,8.9e-06,1.98e-05,3.19e-05,2.8e-06,0.000152784,2.09e-05,4.63e-05,7.48e-05
"10541","20173513201519B1",46.14749236,191.5931203,97.77291289,106.1198558,46.58660431,0.00199401,0.046329206,0.009599293,0.016330232,0.019642019,0.000354404,0.008235091,0.001706145,0.002902743,0.003492096,0.000617989,0.014363318,0.00297517,0.005062922,0.006093782,0.001402326,0.032586508,0.006751009,0.011486278,0.013819595
"10542","20173513201519B2",14.34756401,50.0331421,26.44160008,28.80060513,11.78081132,0.000143952,0.005957585,0.000909731,0.001809581,0.002656197,2.22e-05,0.000918496,0.000140255,0.000278976,0.000409459,4.3e-05,0.001781367,0.000272017,0.000541084,0.000794246,0.000100851,0.004173873,0.000637358,0.001267822,0.001861086
"10547","20173515200911B1",0.184308841,4.560599317,0.972509012,1.533527081,1.482906978,1.07e-07,0.000465123,8.08e-06,8.17e-05,0.00019573,1.91e-08,8.27e-05,1.44e-06,1.45e-05,3.48e-05,3.33e-08,0.000144165,2.51e-06,2.53e-05,6.07e-05,7.56e-08,0.000327119,5.68e-06,5.74e-05,0.000137653
"10548","20173515200911B2",0.006687482,3.333962251,0.423834923,0.886946668,1.159842628,4.56e-10,0.000283015,2.09e-06,4.9e-05,0.000133506,8.1e-11,5.03e-05,3.72e-07,8.71e-06,2.37e-05,1.41e-10,8.77e-05,6.48e-07,1.52e-05,4.14e-05,3.21e-10,0.000199039,1.47e-06,3.45e-05,9.39e-05
"10557","20173527201918B1",0.605131922,11.56643322,3.251258652,4.286614894,3.472963173,6.08e-07,0.001001416,3.22e-05,0.000191989,0.000377116,3.4e-10,5.97e-07,1.82e-08,1.11e-07,2.2e-07,7.81e-09,1.3e-05,4.14e-07,2.48e-06,4.87e-06,2.06e-07,0.000338672,1.09e-05,6.49e-05,0.000127528
"10558","20173527201918B2",2.610868656,36.15770754,11.97331199,14.45891636,10.43429157,5.61e-06,0.004538146,0.000202437,0.000876739,0.001545952,3.15e-09,2.67e-06,1.14e-07,5.12e-07,9.17e-07,7.21e-08,5.87e-05,2.6e-06,1.13e-05,2e-05,1.9e-06,0.001534747,6.84e-05,0.000296485,0.00052282
"10561","20173535201002B1",1.467923989,8.520322332,3.570393902,4.037425269,2.118750014,1.91e-06,0.000449948,2.27e-05,9.14e-05,0.000177373,3.4e-07,8e-05,4.04e-06,1.62e-05,3.15e-05,5.93e-07,0.000139459,7.05e-06,2.83e-05,5.5e-05,1.35e-06,0.000316444,1.6e-05,6.43e-05,0.000124746
"10562","20173535201002B2",7.175471168,24.49027164,13.38423465,13.99711793,5.205759278,9.05e-05,0.004373682,0.000660128,0.001282585,0.00177313,1.61e-05,0.000777427,0.000117331,0.000227975,0.000315192,2.8e-05,0.001355947,0.000204607,0.000397594,0.000549811,6.36e-05,0.003076297,0.000464265,0.00090209,0.001247252
"10563","20173535201107B1",23.97943401,68.50528217,41.38488636,43.68041797,14.2613615,0.000231326,0.009220955,0.001295899,0.002474332,0.003431913,4.11e-05,0.001638934,0.00023034,0.000439808,0.000610062,7.17e-05,0.00285811,0.000401716,0.000767057,0.001064194,0.000162684,0.006485122,0.000911449,0.001740316,0.002414098
"10564","20173535201107B2",28.26921654,85.29622755,50.22011503,52.9903051,18.08480125,0.000563884,0.018451636,0.003666949,0.006082866,0.007524234,0.000100222,0.003279909,0.000651769,0.001081223,0.001337577,0.000174765,0.005721127,0.001136631,0.00188576,0.002333519,0.000396567,0.012978889,0.002579004,0.004278406,0.005293072
"10573","20173551200520B2",49.42735037,174.2136603,91.46270381,100.6090169,39.29289328,0.000592542,0.020049299,0.003618707,0.006298677,0.008042123,3.36e-07,1.28e-05,2.06e-06,3.87e-06,5.56e-06,7.62e-06,0.000261198,4.64e-05,8.17e-05,0.000105791,0.000200354,0.006782312,0.001223637,0.002130428,0.002721446
"10574","20173551200520B3",8.516723007,36.89041485,17.97924164,19.51948884,8.676458376,2.77e-05,0.002465957,0.00027664,0.000606199,0.000931667,1.56e-08,1.45e-06,1.59e-07,3.62e-07,5.85e-07,3.56e-07,3.19e-05,3.56e-06,7.84e-06,1.21e-05,9.36e-06,0.000834074,9.35e-05,0.000205013,0.000315147
"10575","20173551201606B1",1.447940538,9.484320291,3.778173865,4.3549877,2.46995399,1.38e-06,0.000440155,2.03e-05,7.49e-05,0.000143668,7.75e-10,2.53e-07,1.16e-08,4.36e-08,8.5e-08,1.77e-08,5.67e-06,2.61e-07,9.66e-07,1.86e-06,4.66e-07,0.000148836,6.86e-06,2.53e-05,4.86e-05
"10576","20173551201606B2",11.32755357,49.40935383,23.70815367,25.82162469,11.63715613,2.96e-05,0.002749639,0.00029841,0.000679907,0.00110129,1.67e-08,1.61e-06,1.7e-07,4.05e-07,6.9e-07,3.8e-07,3.55e-05,3.84e-06,8.79e-06,1.43e-05,1e-05,0.000929844,0.000100901,0.000229939,0.000372521
"10577","20173553200508B2",1.274240288,8.178650112,3.411626549,3.832233575,2.137040558,2.21e-06,0.000594146,3.1e-05,0.0001107,0.000203585,3.4e-07,9.16e-05,4.78e-06,1.71e-05,3.14e-05,6.59e-07,0.000177654,9.28e-06,3.31e-05,6.09e-05,1.55e-06,0.000416256,2.17e-05,7.76e-05,0.000142633
"10578","20173553200508B3",0.89669755,3.152232059,1.674729039,1.80976635,0.727869134,7.55e-06,0.000440508,6.06e-05,0.000124551,0.000191251,1.16e-06,6.79e-05,9.35e-06,1.92e-05,2.95e-05,2.26e-06,0.000131716,1.81e-05,3.72e-05,5.72e-05,5.29e-06,0.000308621,4.25e-05,8.73e-05,0.000133998
"10579","20173553202010B2",2.62e-05,0.054953138,0.002891747,0.012606618,0.024601748,3.87e-14,5.36e-07,7.95e-10,1.78e-07,8.56e-07,6.88e-15,9.52e-08,1.41e-10,3.16e-08,1.52e-07,1.2e-14,1.66e-07,2.46e-10,5.51e-08,2.65e-07,2.72e-14,3.77e-07,5.59e-10,1.25e-07,6.02e-07
"11596","20183511201911B1",0.001616763,1.598282671,0.144115457,0.391963116,0.579949526,2.62e-11,6.72e-05,3.27e-07,1.29e-05,4.01e-05,4.04e-12,1.04e-05,5.04e-08,1.99e-06,6.18e-06,7.84e-12,2.01e-05,9.77e-08,3.87e-06,1.2e-05,1.84e-11,4.71e-05,2.29e-07,9.06e-06,2.81e-05
"11597","20183511201911B2",2.34e-08,1.05426973,0.019369765,0.219471776,0.465500982,4.79e-21,1.22e-05,1.82e-09,3.31e-06,1.51e-05,7.17e-22,1.83e-06,2.73e-10,4.95e-07,2.27e-06,1.39e-21,3.54e-06,5.28e-10,9.58e-07,4.39e-06,3.35e-21,8.57e-06,1.28e-09,2.32e-06,1.06e-05
"11598","20183513201401B1",8.0310228,28.61139545,14.79358106,16.4592839,6.731320228,7.13e-05,0.003199125,0.000503928,0.000996168,0.001459775,1.27e-05,0.000568648,8.96e-05,0.000177066,0.0002595,2.21e-05,0.000991807,0.000156192,0.000308813,0.000452706,5.01e-05,0.002250155,0.000354409,0.000700649,0.001026889
"11599","20183513201401B3",29.89513505,109.5438841,57.29762605,62.80010534,26.17504029,0.000586278,0.016767252,0.003297164,0.005608244,0.007219736,0.000104202,0.0029805,0.000586046,0.000996871,0.001283529,0.0001817,0.005198875,0.001022029,0.001738687,0.002239586,0.000412311,0.0117941,0.002318949,0.003944642,0.005079345
"11600","20183513201418B1",29.9656864,95.99433217,52.68715923,56.59124158,21.11536844,0.000208867,0.005457785,0.001041123,0.001797258,0.002257958,3.22e-05,0.000841432,0.000160513,0.000277063,0.000348062,6.25e-05,0.001631927,0.000311304,0.000537401,0.00067517,0.00014633,0.003823739,0.000729406,0.001259195,0.001582082
"11601","20183513201418B3",14.96756108,47.61748004,26.18309287,28.28712352,10.37353105,6.24e-05,0.001907511,0.000326087,0.000591067,0.000763159,9.62e-06,0.00029408,5.03e-05,9.11e-05,0.000117642,1.87e-05,0.000570364,9.75e-05,0.000176736,0.000228197,4.37e-05,0.001336416,0.000228456,0.000414114,0.000534714
"11610","20183515200909B1",0.138644658,1.420649231,0.507241354,0.617619875,0.434785606,2.92e-07,0.000149516,6.47e-06,3.24e-05,6.43e-05,3.08e-08,1.58e-05,6.83e-07,3.42e-06,6.79e-06,6.57e-08,3.36e-05,1.46e-06,7.29e-06,1.45e-05,1.58e-07,8.08e-05,3.5e-06,1.75e-05,3.48e-05
"11611","20183515200909B2",0.155585356,3.034773939,0.914103725,1.196247554,0.969292699,2.13e-07,0.000313266,1.13e-05,6.55e-05,0.000135795,2.25e-08,3.3e-05,1.19e-06,6.91e-06,1.43e-05,4.79e-08,7.05e-05,2.54e-06,1.47e-05,3.06e-05,1.15e-07,0.00016934,6.09e-06,3.54e-05,7.34e-05
"11622","20183527201908B1",0.585888275,4.132957945,1.658889695,1.870308141,1.050274867,7.2e-07,0.000199053,1.08e-05,4.1e-05,7.57e-05,4.06e-10,1.26e-07,6.13e-09,2.39e-08,4.45e-08,9.26e-09,2.59e-06,1.38e-07,5.28e-07,9.77e-07,2.44e-07,6.73e-05,3.64e-06,1.38e-05,2.56e-05
"11623","20183527201908B2",9.2e-06,0.431393801,0.019334226,0.092878199,0.165643683,2.84e-15,8.96e-06,9.92e-09,1.77e-06,6.23e-06,1.57e-18,5.03e-09,5.5e-12,9.96e-10,3.53e-09,3.65e-17,1.15e-07,1.27e-10,2.27e-08,8.02e-08,9.61e-16,3.03e-06,3.36e-09,5.98e-07,2.11e-06
"11624","20183535201105B1",102.7192409,299.913732,180.7065363,189.2633147,64.75932845,0.00387357,0.059335225,0.014712735,0.022142852,0.021494337,0.000688475,0.010547406,0.00261506,0.003936011,0.00382152,0.001200561,0.018398424,0.004560424,0.006865425,0.006669101,0.002724213,0.041737277,0.010347594,0.015575082,0.015123453
"11625","20183535201105B2",96.61155433,270.6951731,161.2025465,172.4053179,55.22591142,0.002520807,0.054787968,0.012042014,0.018782872,0.020558076,0.00044804,0.009738741,0.002140348,0.003338702,0.00365481,0.000781291,0.016986329,0.003732508,0.005823475,0.006377336,0.001772839,0.038536672,0.008469168,0.013211752,0.014463833
"11631","20183551200503B2",145.7648688,592.642365,312.8404982,333.3797216,140.5666546,0.004240549,0.085262045,0.019040407,0.029919393,0.031880502,2.42e-06,5.18e-05,1.11e-05,1.87e-05,2.36e-05,5.46e-05,0.00110511,0.000245881,0.000389077,0.000422576,0.001433898,0.028837298,0.006454354,0.010120611,0.010791233
"11632","20183551200503B3",16.98156723,66.82552562,33.26294957,36.14147278,14.8844646,0.000159496,0.00803232,0.001322524,0.00256599,0.003584168,9.1e-08,4.75e-06,7.72e-07,1.55e-06,2.37e-06,2.05e-06,0.000103796,1.7e-05,3.32e-05,4.69e-05,5.39e-05,0.002716395,0.000447195,0.000867856,0.001212641
"11633","20183553202017B1",32.34952471,109.0971715,59.6261791,64.07438399,23.97420181,0.000279834,0.011759531,0.00200486,0.003653466,0.004874067,1.6e-07,6.97e-06,1.16e-06,2.22e-06,3.23e-06,3.6e-06,0.000151988,2.58e-05,4.74e-05,6.38e-05,9.46e-05,0.003976901,0.000677915,0.001235675,0.001649074
"11634","20183553202017B2",6.732687598,35.51262348,15.73596679,17.55445225,8.635847591,1.56e-05,0.00253408,0.000189595,0.000563675,0.000952445,8.77e-09,1.48e-06,1.07e-07,3.32e-07,5.77e-07,2e-07,3.27e-05,2.44e-06,7.28e-06,1.23e-05,5.26e-06,0.00085695,6.41e-05,0.000190623,0.000322129
"12316","17082109172042017-09-01",0.346824382,3.232173793,1.184151089,1.380317146,0.886055388,3.39e-08,1.76e-05,7.57e-07,3.31e-06,6.89e-06,7.87e-11,4.3e-08,1.77e-09,7.86e-09,1.64e-08,1.17e-09,6.1e-07,2.61e-08,1.14e-07,2.38e-07,1.48e-08,7.67e-06,3.3e-07,1.44e-06,3.01e-06
"12430","181024094133172018-09-01",0.00010503,0.29286643,0.015378877,0.064799484,0.124314449,7.94e-14,1.85e-06,2.43e-09,4.77e-07,2.12e-06,4.4e-17,1.03e-09,1.35e-12,2.67e-10,1.19e-09,1.02e-15,2.37e-08,3.12e-11,6.12e-09,2.73e-08,2.68e-14,6.24e-07,8.22e-10,1.61e-07,7.18e-07
"12431","181102093228882018-09-01",4.082872268,13.11548662,7.478461425,7.915134011,2.817604843,1.81e-05,0.001430048,0.000134545,0.000300541,0.00044767,3.21e-06,0.000254174,2.39e-05,5.34e-05,7.96e-05,5.61e-06,0.000443239,4.17e-05,9.32e-05,0.000138787,1.27e-05,0.001005742,9.46e-05,0.000211381,0.000314874
"12952","1609071345385512016-09-01",24.76575883,91.17022199,46.76363547,51.73234276,21.35458617,0.000109851,0.004154436,0.000677081,0.001253816,0.001716061,6.25e-08,2.61e-06,3.89e-07,7.66e-07,1.17e-06,1.41e-06,5.39e-05,8.72e-06,1.63e-05,2.25e-05,3.71e-05,0.001405203,0.000228951,0.000424074,0.00058068
"12986","1610040933567712016-09-01",4.742361519,22.83490443,10.5286318,11.46582416,5.416042729,1e-05,0.001690966,0.000122876,0.000353175,0.000603563,1.54e-06,0.000260702,1.89e-05,5.44e-05,9.3e-05,2.99e-06,0.000505612,3.67e-05,0.000105603,0.000180472,7e-06,0.001184684,8.61e-05,0.000247436,0.000422864
"12995","1611141556434902016-09-01",1.964121739,9.385482745,4.447939122,4.86025065,2.359035119,7.12e-06,0.000860081,7.82e-05,0.000197738,0.00033398,1.27e-06,0.00015287,1.39e-05,3.51e-05,5.94e-05,2.21e-06,0.000266581,2.42e-05,6.13e-05,0.000103543,5.01e-06,0.00060489,5.5e-05,0.000139072,0.000234911
"12996","1611231027411542016-09-01",1.018372497,4.267519433,2.161864771,2.300542511,1.010762015,2.83e-06,0.000251685,2.71e-05,6.13e-05,9.53e-05,4.36e-07,3.88e-05,4.19e-06,9.45e-06,1.47e-05,8.46e-07,7.53e-05,8.12e-06,1.83e-05,2.85e-05,1.98e-06,0.00017633,1.9e-05,4.29e-05,6.68e-05
"13248","1708030847324132017-09-01",0.000670463,0.111345487,0.014369847,0.030840804,0.042316744,1.17e-11,1.73e-06,8.46e-09,2.94e-07,1e-06,1.81e-12,2.67e-07,1.31e-09,4.54e-08,1.55e-07,3.5e-12,5.18e-07,2.53e-09,8.8e-08,3e-07,8.2e-12,1.21e-06,5.93e-09,2.06e-07,7.03e-07
"13267","1708101559494342017-09-01",7.068079385,32.21227442,15.72454823,16.96980493,7.56488124,1.29e-05,0.001915685,0.000149319,0.000409717,0.000684658,1.93e-06,0.000286923,2.24e-05,6.14e-05,0.000102547,3.73e-06,0.000555041,4.33e-05,0.000118711,0.000198377,9.01e-06,0.001342459,0.000104638,0.000287121,0.000479801
"13294","1708210757216432017-09-01",1.629743562,6.767326363,3.393885322,3.708952786,1.698150753,1.93e-06,0.000241047,1.93e-05,5.19e-05,9.07e-05,2.97e-07,3.72e-05,2.98e-06,8.01e-06,1.4e-05,5.76e-07,7.21e-05,5.77e-06,1.55e-05,2.71e-05,1.35e-06,0.00016888,1.35e-05,3.64e-05,6.35e-05
"13335","1709181125586022017-09-01",0.092215709,0.605942413,0.241171748,0.270772121,0.153803825,9.62e-08,2.98e-05,1.29e-06,6.3e-06,1.35e-05,1.71e-08,5.3e-06,2.3e-07,1.12e-06,2.39e-06,2.98e-08,9.25e-06,4.01e-07,1.95e-06,4.17e-06,6.76e-08,2.1e-05,9.09e-07,4.43e-06,9.47e-06
